,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
129,BDCQ.SF1BB1CA,2018.09,1372.723,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
130,BDCQ.SF1BB1CA,2018.12,1230.969,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
131,BDCQ.SF1BB1CA,2019.03,1115.478,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
132,BDCQ.SF1BB1CA,2019.06,1210.962,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
133,BDCQ.SF1BB1CA,2019.09,1234.819,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
134,BDCQ.SF1BB1CA,2019.12,1276.337,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
135,BDCQ.SF1BB1CA,2020.03,1080.713,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
136,BDCQ.SF1BB1CA,2020.06,847.349,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
137,BDCQ.SF1BB1CA,2020.09,925.547,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
138,BDCQ.SF1BB1CA,2020.12,1085.539,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Mining,Current prices,Unadjusted,
